municipality_code,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,confidence
082567,0.00596,0.00992,0.0312,0.203,0.485,0.581,1.92,2.21,2.86,1.81,0.585,0.0249,high
082573,0.00945,0.0158,0.0494,0.307,0.66,0.797,2.74,3.13,3.63,2.31,0.848,0.0394,medium
082589,0.0215,0.0359,0.112,0.691,1.5,1.79,6.07,6.93,7.73,4.98,1.87,0.0894,medium
082592,0.299,0.476,1.23,4.53,7.91,9.1,19.9,21.6,23.1,17.4,8.54,0.975,high
082606,0.0297,0.0494,0.154,0.957,2.13,2.52,6.85,7.61,9.26,6.55,2.45,0.123,high
082613,0.0379,0.0631,0.197,1.21,2.63,3.04,8.45,9.63,11.2,7.81,3.04,0.157,high
082628,0.0722,0.12,0.371,2.16,4.42,5.14,13.9,15.3,16.9,12.2,5.11,0.295,high
082634,0.0616,0.103,0.319,1.94,4.28,5.22,14.1,15.8,18.5,13,4.93,0.255,high
082649,0.0452,0.0753,0.234,1.44,3.25,3.87,10.6,11.8,13.6,9.6,3.66,0.187,high
082652,0.0738,0.123,0.376,2.05,4.03,4.8,11.5,13,13.7,10.1,4.6,0.299,high
082665,0.0185,0.0307,0.0941,0.53,1.1,1.31,3.51,3.93,4.73,3.22,1.26,0.0747,high
082671,0.0283,0.0472,0.147,0.9,1.95,2.33,7.1,7.82,9,6.05,2.31,0.117,high
082687,0.0185,0.0309,0.0963,0.574,1.2,1.4,4.41,5.18,5.85,3.87,1.54,0.0769,high
082690,0.03,0.0501,0.156,0.925,1.94,2.34,7.1,8,8.75,5.9,2.38,0.124,high
082704,0.0729,0.121,0.374,2.18,4.72,5.73,14.6,16.2,19.2,13.4,5.31,0.299,high
082711,0.0129,0.0215,0.0672,0.418,0.92,1.12,3.78,4.49,4.89,3.11,1.14,0.0536,medium
082726,0.0192,0.032,0.0999,0.613,1.33,1.65,5.31,6.3,6.79,4.4,1.67,0.0798,medium
082732,0.031,0.0514,0.157,0.873,1.8,2.16,5.98,6.66,7.63,5.18,2.06,0.125,high
082747,0.0187,0.0312,0.0973,0.599,1.28,1.52,4.84,5.55,6.16,4.14,1.57,0.0775,medium
082750,0.0354,0.0587,0.178,0.964,1.93,2.31,6.44,7.41,8.04,5.47,2.27,0.142,medium
082763,0.0163,0.0273,0.0852,0.525,1.14,1.4,4.81,5.43,6.06,3.84,1.44,0.068,medium
082779,0.0284,0.0474,0.148,0.92,2,2.38,7.98,8.9,10.1,6.63,2.48,0.118,high
082785,0.0681,0.113,0.345,1.85,3.64,4.27,10.7,12,12.9,9.3,4.15,0.274,high
082798,0.0378,0.0628,0.194,1.15,2.42,2.87,8.24,9.05,10.3,7.08,2.82,0.155,high
082802,0.022,0.0368,0.115,0.708,1.54,1.92,6.12,7.14,7.85,5.11,1.93,0.0918,low
082819,0.0261,0.0434,0.136,0.862,2.02,2.38,6.97,7.83,9.74,6.64,2.34,0.108,high
082824,0.0858,0.142,0.437,2.47,5.21,5.96,13.9,15.2,18,13.4,5.6,0.347,high
082830,0.0726,0.121,0.367,1.97,3.84,4.45,11,12.2,13.1,9.59,4.36,0.292,high
082845,0.152,0.229,0.549,2.34,4.44,5.01,11.7,13.1,14.9,10.9,4.86,0.446,high
082858,0.0774,0.129,0.395,2.19,4.35,5.14,12.2,13.7,14.4,10.8,4.91,0.315,high
082861,0.111,0.184,0.559,2.95,5.65,6.47,14.7,16,17.6,13.3,6.18,0.443,high
082877,0.0118,0.0197,0.0618,0.39,0.868,1.06,3.59,4.07,4.77,3.04,1.07,0.0493,high
082883,0.0122,0.0203,0.0633,0.392,0.843,1.02,3.33,3.7,4.33,2.81,1.04,0.0506,medium
082896,0.0597,0.0992,0.306,1.75,3.7,4.44,10.8,12.1,14.1,10,4.1,0.244,high
082900,0.013,0.0217,0.068,0.429,0.963,1.18,3.86,4.42,5.25,3.33,1.17,0.0542,high
082917,0.0625,0.104,0.319,1.81,3.66,4.25,11.1,12,13.2,9.62,4.14,0.254,high
082922,0.0248,0.0414,0.129,0.801,1.74,2.09,6.41,7.21,8.26,5.57,2.08,0.103,medium
082938,0.00898,0.015,0.0468,0.285,0.597,0.685,2.22,2.62,3.06,2.05,0.796,0.0374,low
082943,0.0417,0.0694,0.214,1.25,2.67,3.19,8.63,9.64,10.9,7.57,3.01,0.17,high
082956,0.106,0.176,0.532,2.8,5.56,6.54,15.1,16.6,18.6,13.7,6.03,0.423,high
082969,0.0108,0.018,0.0563,0.357,0.838,0.99,2.93,3.31,4.15,2.79,0.974,0.0448,high
082975,0.00773,0.0129,0.0404,0.252,0.541,0.657,2.2,2.54,2.93,1.89,0.694,0.0322,medium
082981,0.116,0.191,0.566,2.74,5.1,5.88,13.7,15.3,16.3,12,5.67,0.448,high
082994,0.0147,0.0245,0.0764,0.467,0.996,1.18,3.92,4.64,5.2,3.35,1.29,0.0611,low
083008,0.171,0.28,0.792,3.49,6.32,7.16,15.8,17,18.5,14.1,6.8,0.627,high
083015,0.0139,0.0231,0.0722,0.454,1.07,1.36,3.98,4.62,5.67,3.64,1.27,0.0578,high
083020,0.0162,0.0271,0.0847,0.527,1.14,1.37,4.45,5.02,5.74,3.8,1.41,0.0675,high
083036,0.0157,0.0262,0.0819,0.506,1.11,1.38,4.52,5.28,5.81,3.72,1.39,0.0654,medium
083041,0.0193,0.0322,0.1,0.616,1.33,1.6,4.7,5.22,5.94,4.12,1.58,0.08,medium
083054,0.0746,0.124,0.38,2.12,4.23,4.94,11.3,12.3,13.8,10.5,4.64,0.302,high
083067,0.0136,0.0226,0.0709,0.453,1.06,1.29,4.33,4.96,5.99,3.76,1.27,0.0566,medium
083073,0.0329,0.0546,0.17,1.03,2.21,2.63,6.85,7.55,9.12,6.57,2.54,0.135,high
083089,0.0139,0.0231,0.0724,0.453,0.984,1.17,4.05,4.71,5.31,3.38,1.23,0.0577,medium
089019,0.0201,0.0335,0.105,0.644,1.4,1.77,5.65,6.56,7.22,4.67,1.77,0.0836,medium
089024,0.0125,0.0208,0.0653,0.415,0.963,1.14,3.61,4.04,4.97,3.26,1.13,0.052,high
089030,0.00958,0.016,0.0499,0.304,0.642,0.755,2.46,2.92,3.33,2.19,0.848,0.0399,low
089045,0.0166,0.0277,0.0868,0.553,1.26,1.54,4.97,5.67,7.04,4.47,1.53,0.0692,high
089058,0.024,0.0399,0.124,0.754,1.66,2.03,5.55,6.23,7.3,5.05,1.92,0.0991,high
170010,0.00707,0.0118,0.0368,0.229,0.493,0.613,1.92,2.26,2.79,1.7,0.634,0.0295,low
170025,0.0243,0.0404,0.126,0.79,1.72,2,5.97,6.93,8.29,5.43,2.05,0.101,high
170031,0.0106,0.0177,0.0553,0.345,0.75,0.948,3.08,3.63,4.16,2.57,0.951,0.0442,low
170046,0.0455,0.0758,0.235,1.43,3.13,3.58,9.09,10.7,13.4,9.06,3.52,0.188,medium
170059,0.00742,0.0124,0.0387,0.251,0.555,0.653,2.06,2.45,3.31,1.95,0.692,0.031,medium
170062,0.00708,0.0118,0.0369,0.224,0.471,0.557,1.75,2.09,2.38,1.6,0.624,0.0295,low
170078,0.0141,0.0235,0.0732,0.458,1.01,1.25,4.06,4.69,5.25,3.37,1.24,0.0585,medium
170084,0.0217,0.0361,0.113,0.694,1.51,1.85,5.59,6.37,7.12,4.73,1.81,0.0899,medium
170097,0.0287,0.0477,0.147,0.837,1.72,2.1,6.03,6.89,7.45,5.02,2.05,0.117,high
170101,0.0413,0.0689,0.214,1.28,2.71,3.33,9.22,10.5,11.6,7.91,3.2,0.171,medium
170118,0.0252,0.0419,0.131,0.829,1.8,2.07,5.8,6.78,8.78,5.66,2.15,0.105,medium
170123,0.0174,0.029,0.0905,0.566,1.2,1.42,4.08,4.71,5.88,3.78,1.46,0.0723,medium
170139,0.206,0.338,0.979,4.56,8.65,9.75,18.8,21.5,24.6,18.9,8.97,0.777,high
170144,0.0109,0.0182,0.0566,0.349,0.744,0.924,2.8,3.27,3.93,2.47,0.946,0.0453,low
170157,0.0616,0.102,0.317,1.91,3.99,4.68,12,13.6,15.7,11.1,4.6,0.253,high
170160,0.0322,0.0536,0.167,1.06,2.28,2.65,7.71,9,11.2,7.27,2.75,0.134,medium
170182,0.0325,0.0542,0.169,1.08,2.46,2.85,8.08,9.75,12.6,8.04,2.87,0.136,medium
170195,0.777,1.24,3.17,9.86,14.5,15.7,24.8,26.5,28,23.4,14.6,2.51,medium
170209,0.0331,0.055,0.171,1.04,2.22,2.62,7.3,8.29,9.43,6.47,2.57,0.136,high
170216,0.0148,0.0247,0.0772,0.487,1.06,1.32,4.27,5.01,5.84,3.61,1.32,0.0618,medium
170221,0.0603,0.1,0.302,1.61,3.19,3.63,8.32,9.59,11.5,7.99,3.5,0.241,high
170237,0.333,0.539,1.51,6.83,12.5,13.7,27.7,30.4,34,26.8,13.2,1.2,high
170242,0.0104,0.0174,0.0543,0.329,0.686,0.805,2.46,2.92,3.35,2.3,0.907,0.0434,low
170255,0.0958,0.159,0.49,2.85,5.84,6.64,16.8,19.1,23,16.1,6.69,0.391,high
170268,0.0298,0.0496,0.154,0.963,2.04,2.39,6.7,7.72,9.56,6.28,2.45,0.123,high
170274,0.102,0.17,0.521,2.89,5.77,6.74,15.4,17,18.4,13.9,6.31,0.415,high
170280,0.015,0.025,0.0781,0.497,1.11,1.35,4.48,5.23,6.06,3.79,1.36,0.0624,medium
170293,0.0157,0.0261,0.0816,0.515,1.11,1.33,4.11,4.78,6.05,3.72,1.38,0.0653,low
170307,0.00555,0.00925,0.0289,0.186,0.408,0.486,1.54,1.84,2.46,1.44,0.515,0.0232,medium
170314,0.0158,0.0262,0.082,0.518,1.12,1.37,4.36,5.11,6.16,3.81,1.4,0.0656,medium
170329,0.0172,0.0287,0.089,0.537,1.16,1.36,3.6,4.29,5.46,3.59,1.35,0.0711,low
170335,0.0291,0.0485,0.151,0.926,1.99,2.28,6.48,7.51,8.95,6,2.34,0.12,high
170340,0.0334,0.0556,0.171,0.988,2.1,2.43,5.65,6.62,7.78,5.55,2.31,0.137,high
170353,0.0129,0.0214,0.067,0.427,0.941,1.13,3.66,4.3,5.22,3.21,1.16,0.0536,medium
170366,0.0119,0.0199,0.0622,0.377,0.8,0.98,3.07,3.64,3.99,2.65,1.03,0.0497,low
170372,0.00952,0.0159,0.0496,0.302,0.632,0.751,2.34,2.79,3.19,2.16,0.842,0.0397,low
170388,0.0205,0.0341,0.107,0.683,1.51,1.77,5.66,6.67,8.12,5.11,1.85,0.0854,medium
170391,0.0146,0.0243,0.0759,0.464,0.995,1.26,3.96,4.68,5.12,3.33,1.28,0.0607,low
170405,0.011,0.0184,0.0574,0.364,0.804,0.977,3.19,3.71,4.38,2.72,0.987,0.0459,medium
170412,0.00679,0.0113,0.0353,0.223,0.48,0.594,1.87,2.21,2.83,1.69,0.62,0.0283,low
170427,0.0199,0.0331,0.102,0.601,1.23,1.49,4.04,4.66,5.75,3.71,1.5,0.0816,medium
170433,0.00928,0.0155,0.0484,0.294,0.611,0.701,2.16,2.58,3.03,2.1,0.82,0.0387,low
170448,0.0848,0.139,0.401,1.78,3.18,3.52,7.93,9.09,10.9,7.56,3.48,0.318,high
170464,0.0834,0.139,0.428,2.44,4.95,5.99,14.3,16.2,17.2,12.7,5.63,0.341,low
170470,0.0331,0.0551,0.17,0.993,2.04,2.32,5.56,6.37,7.87,5.46,2.3,0.136,high
170486,0.0421,0.0702,0.218,1.32,2.87,3.34,8.67,10.2,12.1,8.37,3.35,0.174,high
170499,0.812,1.19,2.52,8.08,13.7,15,29.8,32.8,37.6,28.9,14.6,2.07,high
170502,0.14,0.229,0.673,3.23,5.99,6.69,15.6,17.7,21.2,14.9,6.66,0.534,high
170519,0.00926,0.0154,0.0482,0.305,0.664,0.816,2.67,3.15,3.87,2.32,0.842,0.0386,low
170524,0.0116,0.0193,0.0603,0.388,0.855,0.995,3,3.55,4.72,2.88,1.05,0.0482,medium
170545,0.0257,0.0427,0.131,0.731,1.47,1.73,4.35,5.08,6.41,4.15,1.71,0.104,low
170558,0.0568,0.0944,0.292,1.74,3.65,4.17,10.6,12.2,15.2,10.2,4.16,0.233,high
170561,0.0614,0.101,0.303,1.61,3.18,3.69,9.58,10.9,12.9,8.74,3.64,0.241,high
170577,0.0379,0.0632,0.197,1.21,2.66,3.12,8.63,10.2,12.7,8.15,3.13,0.157,medium
170583,0.0209,0.0348,0.109,0.689,1.5,1.82,5.74,6.7,8.08,5.04,1.85,0.087,medium
170600,0.00736,0.0123,0.0383,0.24,0.518,0.644,2.06,2.43,2.99,1.81,0.667,0.0307,low
170617,0.00566,0.00945,0.0295,0.18,0.377,0.444,1.41,1.68,1.93,1.3,0.503,0.0236,low
170622,0.179,0.293,0.841,4.05,7.89,8.82,18.7,21.2,25,18.7,8.4,0.669,high
170638,0.0165,0.0275,0.0858,0.529,1.15,1.43,4.68,5.44,5.97,3.85,1.45,0.0685,medium
170643,0.0063,0.0105,0.0328,0.207,0.45,0.552,1.73,2.06,2.72,1.59,0.578,0.0263,low
170656,0.0228,0.0379,0.118,0.742,1.6,1.93,5.84,6.77,8.08,5.17,1.95,0.0947,high
170669,0.0198,0.0329,0.103,0.642,1.38,1.62,4.62,5.36,6.85,4.36,1.67,0.0821,high
170675,0.0489,0.0815,0.254,1.59,3.49,4.07,11.3,13.2,16.4,10.7,4.12,0.203,high
170681,0.0483,0.0804,0.248,1.48,3.16,3.66,9.84,11.6,14.5,9.39,3.67,0.198,medium
170694,0.00649,0.0108,0.0338,0.206,0.431,0.506,1.58,1.88,2.16,1.47,0.573,0.0271,low
170708,0.0327,0.0546,0.171,1.08,2.5,2.97,8.44,10.4,13,8.25,2.92,0.137,high
170715,0.0204,0.0339,0.106,0.666,1.44,1.72,5.2,6.05,7.31,4.65,1.74,0.0847,medium
170736,0.0707,0.117,0.355,1.94,3.87,4.39,10.9,12.3,14.2,10.1,4.34,0.283,high
170741,0.0157,0.0262,0.0817,0.518,1.13,1.31,3.73,4.35,5.64,3.59,1.35,0.0653,high
170754,0.0161,0.0269,0.0841,0.539,1.18,1.38,4.22,4.97,6.49,3.98,1.45,0.0672,medium
170767,0.0252,0.042,0.131,0.846,1.89,2.21,6.72,8.02,10.5,6.43,2.31,0.105,medium
170773,0.0103,0.0172,0.0536,0.333,0.722,0.851,2.39,2.82,3.63,2.3,0.867,0.0429,medium
170789,0.00496,0.00827,0.0258,0.157,0.328,0.377,1.18,1.41,1.64,1.13,0.439,0.0206,low
170792,0.25,0.411,1.2,5.58,9.93,10.9,21.4,23.4,26.2,20.4,10.4,0.953,high
170806,0.00868,0.0145,0.0453,0.276,0.583,0.701,2.24,2.68,3.01,1.99,0.77,0.0362,low
170813,0.0835,0.139,0.431,2.58,5.65,6.6,16.1,19,22.8,15.8,6.29,0.344,medium
170828,0.00581,0.0097,0.0303,0.184,0.385,0.445,1.4,1.67,1.94,1.33,0.516,0.0242,low
170834,0.0397,0.0662,0.206,1.28,2.82,3.39,9.87,11.3,12.7,8.67,3.31,0.165,high
170849,0.00614,0.0102,0.032,0.195,0.407,0.474,1.49,1.77,2.05,1.39,0.542,0.0256,low
170852,0.0574,0.0954,0.295,1.75,3.68,4.21,10.7,12.4,15.5,10.4,4.21,0.235,medium
170865,0.00764,0.0127,0.0397,0.25,0.537,0.665,2.06,2.43,3.09,1.87,0.693,0.0318,low
170871,0.0468,0.0779,0.243,1.54,3.35,3.88,11.4,13.2,16.4,10.7,4.04,0.195,high
170887,0.0148,0.0247,0.0771,0.484,1.04,1.27,3.99,4.67,5.62,3.49,1.3,0.0617,low
170890,0.0123,0.0205,0.0637,0.39,0.842,0.965,2.77,3.28,4.05,2.64,1.01,0.0509,high
170904,0.0209,0.0348,0.109,0.684,1.5,1.73,5.26,6.22,7.74,4.9,1.82,0.087,medium
170911,0.0117,0.0196,0.0611,0.372,0.783,0.951,2.95,3.52,3.97,2.66,1.04,0.0489,low
170926,0.0192,0.0319,0.0986,0.579,1.2,1.42,3.58,4.17,5.2,3.45,1.4,0.0787,high
170932,0.00883,0.0147,0.0459,0.292,0.632,0.758,2.38,2.78,3.6,2.17,0.794,0.0368,medium
170947,0.0108,0.0181,0.0565,0.342,0.708,0.803,2.44,2.89,3.39,2.39,0.945,0.0452,medium
170950,0.275,0.425,1.02,3.63,6.35,6.94,14.5,16.1,18.4,14,6.82,0.819,high
170963,0.0129,0.0215,0.0672,0.411,0.88,1.08,3.5,4.18,4.57,2.97,1.14,0.0537,medium
170979,0.0271,0.0451,0.141,0.901,2.02,2.37,7.26,8.65,11,6.81,2.46,0.113,medium
170985,0.0147,0.0244,0.0763,0.483,1.05,1.29,4.18,4.9,5.8,3.59,1.31,0.061,medium
170998,0.00418,0.00698,0.0218,0.133,0.276,0.31,0.977,1.16,1.39,0.96,0.372,0.0174,low
171002,0.00776,0.0129,0.0404,0.257,0.56,0.668,2.06,2.43,3.2,1.92,0.701,0.0323,medium
171019,0.0198,0.033,0.103,0.634,1.38,1.65,4.99,5.77,6.58,4.32,1.64,0.082,medium
171024,0.00883,0.0147,0.0459,0.279,0.592,0.74,2.26,2.66,3.13,1.96,0.756,0.0367,low
171030,0.0796,0.132,0.4,2.16,4.29,4.89,12,13.5,15.3,11,4.76,0.318,high
171058,0.017,0.0283,0.0884,0.552,1.21,1.52,4.89,5.69,6.39,4.06,1.5,0.0707,medium
171061,0.0103,0.0171,0.0533,0.336,0.728,0.875,2.65,3.12,4.08,2.47,0.913,0.0427,low
171077,0.0124,0.0207,0.0647,0.393,0.827,1,3.1,3.69,4.19,2.81,1.09,0.0517,low
171096,0.0162,0.027,0.0841,0.516,1.11,1.41,4.4,5.16,5.69,3.64,1.39,0.0672,medium
171100,0.0205,0.0342,0.106,0.638,1.41,1.65,4.1,4.91,5.89,4.06,1.58,0.0848,high
171117,0.031,0.0515,0.161,1.01,2.16,2.54,7.35,8.51,10.5,6.81,2.61,0.129,medium
171122,0.0128,0.0214,0.0667,0.406,0.858,1.05,3.27,3.9,4.35,2.91,1.13,0.0533,low
171143,0.21,0.342,0.95,3.85,6.66,7.72,16.1,17.9,19,14.4,7.22,0.751,high
171156,0.017,0.0282,0.0883,0.561,1.21,1.43,4.31,5.04,6.41,4,1.49,0.0706,medium
171169,0.0141,0.0235,0.0733,0.458,1.01,1.26,4.16,4.8,5.37,3.41,1.25,0.0586,medium
171175,0.0598,0.0997,0.308,1.83,4.01,4.67,11,13.1,15.4,11,4.43,0.246,high
171181,0.0282,0.0471,0.146,0.888,1.98,2.32,5.91,7.07,8.47,5.8,2.24,0.117,high
171194,0.0164,0.0273,0.0852,0.544,1.19,1.39,4.09,4.82,6.36,3.93,1.45,0.0681,medium
171208,0.0154,0.0257,0.0798,0.489,1.05,1.23,3.33,3.93,5.03,3.25,1.24,0.0638,medium
171215,0.0316,0.0527,0.164,1.02,2.31,2.74,7.46,9.1,11.3,7.29,2.66,0.131,medium
171236,0.0172,0.0287,0.0898,0.573,1.26,1.5,4.8,5.63,6.88,4.28,1.55,0.0718,medium
171241,0.233,0.383,1.12,5.3,10.1,11.4,22.3,25.5,29.2,22.2,10.5,0.888,high
171254,0.0121,0.0203,0.0633,0.385,0.807,0.971,3,3.58,4.06,2.75,1.07,0.0506,low
171267,0.0507,0.0845,0.262,1.57,3.4,3.96,10.2,12,14.6,9.77,3.88,0.209,medium
171289,0.00859,0.0143,0.0448,0.284,0.629,0.742,2.22,2.66,3.52,2.15,0.768,0.0358,medium
171292,0.0117,0.0194,0.0606,0.382,0.842,0.99,2.87,3.42,4.47,2.79,1.02,0.0485,low
171306,0.0948,0.158,0.487,2.87,6.03,6.95,16.5,18.9,22.4,15.8,6.75,0.389,high
171328,0.00846,0.0141,0.0441,0.281,0.617,0.732,2.25,2.67,3.55,2.13,0.768,0.0353,high
171334,0.0265,0.0442,0.138,0.84,1.81,2.27,6.9,7.97,8.72,5.77,2.23,0.11,medium
171349,0.00807,0.0135,0.0421,0.256,0.536,0.634,1.99,2.37,2.72,1.84,0.716,0.0336,low
171352,0.0101,0.0168,0.0527,0.337,0.731,0.879,2.82,3.31,4.29,2.56,0.925,0.0422,low
171365,0.0232,0.0385,0.12,0.766,1.65,1.95,5.86,6.85,8.68,5.45,2.03,0.0963,medium
171371,0.0159,0.0264,0.0825,0.518,1.13,1.38,4.31,4.98,5.83,3.7,1.38,0.066,high
171387,0.00882,0.0147,0.0459,0.29,0.639,0.778,2.41,2.91,3.85,2.27,0.807,0.0368,low
171390,0.0667,0.111,0.343,1.96,4.02,4.93,12.9,14.7,15.8,11.1,4.73,0.273,medium
171404,0.0084,0.014,0.0437,0.275,0.613,0.727,2.08,2.52,3.29,2.07,0.734,0.035,medium
171411,0.00979,0.0163,0.051,0.309,0.644,0.756,2.31,2.75,3.15,2.17,0.853,0.0407,low
171426,0.0249,0.0415,0.129,0.817,1.79,2.08,6.28,7.39,9.21,5.86,2.17,0.104,high
171432,0.00639,0.0106,0.0332,0.21,0.458,0.558,1.74,2.08,2.76,1.62,0.583,0.0266,low
171447,0.0278,0.0464,0.145,0.92,2.15,2.57,7.26,9.03,11.2,7.25,2.52,0.116,medium
171450,0.0103,0.0172,0.0536,0.326,0.681,0.813,2.5,2.99,3.4,2.31,0.904,0.0428,low
171463,0.0956,0.158,0.475,2.41,4.59,5.35,12.4,13.7,14.7,10.8,5.01,0.377,high
171479,0.0283,0.047,0.145,0.825,1.69,2.07,6.03,7.07,7.6,5.16,2.1,0.115,medium
171485,0.0426,0.0706,0.214,1.19,2.44,2.87,7.98,9.14,10.4,7.01,2.82,0.17,medium
171498,0.0215,0.0359,0.112,0.687,1.49,1.89,5.94,7.04,7.55,4.92,1.88,0.0894,medium
171501,0.0384,0.0638,0.198,1.19,2.5,2.88,8.07,9.3,11,7.38,2.91,0.158,high
171518,0.00936,0.0156,0.0488,0.315,0.697,0.811,2.47,2.93,3.91,2.37,0.856,0.039,medium
171523,0.0608,0.101,0.304,1.61,3.16,3.6,7.83,8.99,10.8,7.82,3.44,0.242,high
171539,0.225,0.371,1.11,5.58,10.5,11.7,23.2,25.8,29.6,22.5,11,0.883,high
171544,0.0122,0.0203,0.0633,0.395,0.863,1.09,3.55,4.18,4.73,2.94,1.09,0.0506,medium
171557,0.0512,0.0851,0.265,1.66,3.57,4.16,11.7,13.4,15.7,10.8,4.2,0.212,high
171576,0.0113,0.0188,0.0589,0.38,0.849,0.997,3.33,3.96,4.88,2.98,1.05,0.0471,medium
171582,0.00913,0.0152,0.0474,0.298,0.645,0.787,2.43,2.87,3.77,2.23,0.822,0.038,low
171595,0.0191,0.0318,0.0995,0.626,1.39,1.71,5.59,6.53,7.37,4.69,1.7,0.0795,high
171609,0.0226,0.0376,0.117,0.736,1.64,1.93,5.44,6.52,7.9,5.22,1.97,0.0939,medium
171616,0.0381,0.0635,0.194,1.08,2.19,2.69,7.47,8.59,9.25,6.3,2.61,0.155,medium
171621,0.0155,0.0258,0.0806,0.508,1.11,1.39,4.53,5.32,6.09,3.79,1.38,0.0645,high
171637,0.0215,0.0358,0.111,0.681,1.45,1.7,4.86,5.59,6.55,4.37,1.7,0.0888,high
171642,0.0183,0.0306,0.0956,0.589,1.29,1.61,5.17,5.99,6.58,4.26,1.6,0.0763,medium
171655,0.0305,0.0508,0.158,0.964,2.06,2.56,7.46,8.61,9.46,6.32,2.48,0.126,medium
171668,0.0259,0.0431,0.135,0.867,1.93,2.24,6.82,8.12,10.5,6.5,2.35,0.108,high
171674,0.0154,0.0257,0.0802,0.488,1.04,1.31,4.06,4.81,5.2,3.44,1.33,0.0641,medium
171680,0.0478,0.0795,0.248,1.55,3.34,3.86,11,12.8,15.8,10.4,4,0.198,medium
171693,0.0667,0.111,0.342,2.04,4.25,4.88,13,14.8,17.7,12.2,4.91,0.273,high
171707,0.0195,0.0325,0.102,0.62,1.33,1.69,5.3,6.29,6.75,4.43,1.71,0.0811,low
171714,0.0091,0.0152,0.0474,0.299,0.649,0.805,2.64,3.11,3.74,2.26,0.823,0.0379,low
171729,0.0101,0.0169,0.0528,0.336,0.746,0.912,3.02,3.53,4.11,2.56,0.918,0.0422,medium
171735,0.036,0.06,0.187,1.19,2.62,3.05,9.17,10.8,13.5,8.65,3.19,0.15,medium
171740,0.0141,0.0236,0.0736,0.466,1.03,1.27,4.16,4.85,5.66,3.5,1.27,0.0589,medium
171753,0.0214,0.0356,0.111,0.703,1.53,1.77,5.01,5.85,7.6,4.83,1.83,0.0888,low
171766,0.0233,0.0387,0.121,0.771,1.69,1.96,5.72,6.74,8.77,5.5,2.04,0.0968,medium
171772,0.0169,0.0282,0.0879,0.532,1.13,1.42,4.32,5.08,5.53,3.68,1.45,0.0702,low
171788,0.0283,0.0472,0.147,0.921,1.98,2.28,6.21,7.24,9.3,6.08,2.35,0.117,high
171805,0.0397,0.066,0.203,1.18,2.46,2.92,8.09,9.16,10.2,6.97,2.83,0.162,high
171812,0.04,0.0651,0.181,0.778,1.46,1.65,3.95,4.64,5.53,3.8,1.64,0.144,high
171827,0.0986,0.164,0.51,3.12,6.53,7.49,18.6,21,25.4,18,7.5,0.407,high
171833,0.0146,0.0244,0.0763,0.476,1.05,1.32,4.27,4.97,5.55,3.52,1.3,0.061,medium
171848,0.0212,0.0354,0.111,0.683,1.48,1.87,5.81,6.78,7.47,4.84,1.83,0.0883,high
171851,0.0364,0.0606,0.188,1.12,2.34,2.9,8.09,9.39,10.2,6.91,2.79,0.15,medium
171864,0.0624,0.103,0.318,1.81,3.64,4.14,10.2,11.6,13.4,9.51,4.06,0.253,high
171870,0.0196,0.0326,0.102,0.657,1.46,1.7,5.21,6.2,8.05,4.96,1.79,0.0817,medium
171886,0.00926,0.0154,0.0482,0.305,0.687,0.818,2.39,2.91,3.8,2.38,0.829,0.0386,low
171899,0.0146,0.0244,0.0762,0.473,1.03,1.28,3.99,4.57,5.08,3.34,1.26,0.0609,medium
171903,0.014,0.0232,0.0726,0.457,0.997,1.23,3.93,4.61,5.37,3.35,1.23,0.0581,medium
171910,0.0251,0.042,0.131,0.835,1.93,2.3,6.71,8.27,10.5,6.51,2.28,0.105,medium
171925,0.00941,0.0157,0.0491,0.298,0.621,0.722,2.22,2.65,3.1,2.14,0.833,0.0392,low
171931,0.034,0.0566,0.176,1.1,2.39,2.81,8.35,9.63,11.2,7.43,2.83,0.141,high
171946,0.0129,0.0215,0.0672,0.416,0.912,1.15,3.73,4.32,4.8,3.07,1.15,0.0537,medium
171959,0.0574,0.0957,0.297,1.82,3.98,4.57,11.7,13.8,17.1,11.6,4.51,0.237,high
171962,0.00976,0.0163,0.0508,0.321,0.696,0.85,2.73,3.21,3.98,2.4,0.878,0.0406,medium
171978,0.039,0.0651,0.203,1.27,2.92,3.47,9.5,11.5,14.1,9.3,3.39,0.162,medium
171984,0.0137,0.0228,0.0714,0.46,1.02,1.18,3.58,4.24,5.64,3.44,1.24,0.0571,medium
171997,0.132,0.217,0.626,2.92,5.65,6.39,14.1,16.5,19.8,14,6.07,0.497,high
172001,0.0238,0.0397,0.123,0.748,1.59,1.98,5.75,6.65,7.33,4.86,1.92,0.0986,low
172018,0.00852,0.0142,0.0444,0.271,0.568,0.674,2.12,2.53,2.89,1.95,0.755,0.0355,low
172023,0.0116,0.0193,0.0602,0.381,0.847,0.96,2.88,3.43,4.27,2.8,1.03,0.0482,high
172039,0.0504,0.084,0.262,1.62,3.56,4.17,11.3,13.3,16.4,10.8,4.18,0.209,low
172044,0.106,0.176,0.544,3.22,6.91,7.92,19,22.2,26.9,18.9,7.64,0.434,high
172057,0.0276,0.046,0.143,0.894,2.03,2.41,6.67,8.15,10.2,6.5,2.36,0.115,medium
172060,0.00542,0.00905,0.0283,0.172,0.362,0.427,1.37,1.63,1.87,1.25,0.482,0.0226,low
