h3,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,confidence
873944cacffffff,0.0048,0.00802,0.0251,0.156,0.334,0.404,1.36,1.58,1.84,1.18,0.432,0.02,medium
873944cadffffff,0.00581,0.0097,0.0303,0.189,0.404,0.488,1.65,1.92,2.22,1.42,0.522,0.0242,low
873944caeffffff,0.00781,0.013,0.0408,0.254,0.542,0.654,2.17,2.52,2.91,1.89,0.698,0.0325,medium
873944cb0ffffff,0.00593,0.00991,0.031,0.194,0.412,0.495,1.69,1.94,2.31,1.46,0.535,0.0247,medium
873944cb1ffffff,0.00563,0.00941,0.0294,0.184,0.391,0.47,1.61,1.85,2.19,1.39,0.508,0.0235,low
873944cb2ffffff,0.0213,0.0356,0.111,0.678,1.41,1.67,5.01,5.65,6.5,4.46,1.76,0.0885,high
873944cb3ffffff,0.00658,0.011,0.0344,0.215,0.456,0.548,1.87,2.15,2.55,1.62,0.593,0.0274,medium
873944cb4ffffff,0.00928,0.0155,0.0484,0.299,0.626,0.747,2.38,2.71,3.17,2.09,0.796,0.0386,medium
873944cb5ffffff,0.00557,0.00931,0.0291,0.182,0.387,0.465,1.59,1.83,2.18,1.38,0.503,0.0232,medium
873944cb6ffffff,0.0532,0.0884,0.269,1.42,2.68,3.05,7.36,8.13,9.13,6.7,3.06,0.213,high
873944cc0ffffff,0.00776,0.013,0.0406,0.253,0.549,0.667,2.26,2.61,2.98,1.92,0.699,0.0323,medium
873944cc1ffffff,0.0108,0.018,0.0565,0.352,0.762,0.926,3.12,3.59,4.1,2.65,0.969,0.045,medium
873944cc2ffffff,0.00789,0.0132,0.0412,0.257,0.557,0.676,2.28,2.63,3,1.94,0.708,0.0329,medium
873944cc3ffffff,0.0111,0.0186,0.0581,0.362,0.785,0.952,3.2,3.69,4.21,2.72,0.997,0.0464,medium
873944cc4ffffff,0.00857,0.0143,0.0448,0.279,0.601,0.73,2.43,2.8,3.19,2.08,0.764,0.0357,medium
873944cc5ffffff,0.00822,0.0137,0.043,0.268,0.579,0.703,2.36,2.72,3.1,2.01,0.736,0.0343,medium
873944cc6ffffff,0.00779,0.013,0.0407,0.253,0.545,0.662,2.21,2.54,2.91,1.89,0.696,0.0325,medium
873944cc8ffffff,0.0176,0.0294,0.092,0.573,1.24,1.5,5,5.73,6.52,4.26,1.57,0.0734,medium
873944cc9ffffff,0.031,0.0516,0.161,0.995,2.13,2.56,7.96,8.99,10.1,6.89,2.62,0.128,medium
873944ccaffffff,0.018,0.03,0.0939,0.584,1.26,1.53,5.08,5.83,6.63,4.33,1.6,0.0749,medium
873944ccbffffff,0.0248,0.0414,0.129,0.807,1.75,2.11,6.9,7.85,8.9,5.91,2.18,0.103,medium
873944cccffffff,0.0134,0.0224,0.0702,0.437,0.946,1.15,3.84,4.42,5.03,3.27,1.2,0.056,medium
873944ccdffffff,0.0181,0.0302,0.0944,0.589,1.28,1.54,5.07,5.78,6.56,4.33,1.6,0.0752,medium
873944cceffffff,0.0145,0.0243,0.0759,0.473,1.02,1.24,4.13,4.75,5.4,3.52,1.29,0.0606,medium
873944cd0ffffff,0.0079,0.0132,0.0413,0.257,0.554,0.673,2.26,2.61,3,1.94,0.71,0.0329,medium
873944cd1ffffff,0.00918,0.0153,0.048,0.299,0.645,0.784,2.63,3.03,3.47,2.25,0.823,0.0383,medium
873944cd2ffffff,0.00943,0.0157,0.0492,0.306,0.659,0.799,2.66,3.07,3.54,2.29,0.842,0.0393,low
873944cd3ffffff,0.00835,0.0139,0.0436,0.272,0.587,0.712,2.4,2.77,3.19,2.05,0.751,0.0348,medium
873944cd4ffffff,0.00663,0.0111,0.0347,0.216,0.466,0.566,1.91,2.2,2.53,1.63,0.597,0.0277,medium
873944cd5ffffff,0.0072,0.012,0.0376,0.234,0.505,0.613,2.06,2.38,2.73,1.76,0.647,0.03,medium
873944cd6ffffff,0.00823,0.0138,0.043,0.268,0.577,0.701,2.35,2.71,3.12,2.01,0.739,0.0343,medium
873944cd8ffffff,0.00959,0.016,0.0501,0.313,0.677,0.823,2.78,3.21,3.66,2.36,0.862,0.04,medium
873944cd9ffffff,0.0128,0.0214,0.067,0.417,0.903,1.1,3.68,4.24,4.82,3.13,1.15,0.0534,medium
873944cdaffffff,0.0108,0.018,0.0563,0.353,0.771,0.935,3.19,3.65,4.21,2.69,0.97,0.0449,medium
873944cdbffffff,0.0118,0.0197,0.0616,0.386,0.841,1.02,3.45,3.95,4.55,2.93,1.06,0.0491,high
873944cdcffffff,0.00935,0.0156,0.0489,0.305,0.66,0.802,2.71,3.12,3.56,2.3,0.84,0.039,medium
873944cddffffff,0.0121,0.0201,0.063,0.392,0.849,1.03,3.46,3.98,4.53,2.94,1.08,0.0502,medium
873944cdeffffff,0.0102,0.017,0.0533,0.333,0.721,0.876,2.96,3.4,3.89,2.51,0.915,0.0425,medium
873944ce0ffffff,0.00717,0.012,0.0375,0.232,0.498,0.601,2.04,2.38,2.7,1.73,0.642,0.0299,medium
873944ce1ffffff,0.00773,0.0129,0.0404,0.25,0.539,0.65,2.22,2.59,2.91,1.87,0.693,0.0322,medium
873944ce2ffffff,0.00667,0.0111,0.0348,0.217,0.466,0.565,1.89,2.19,2.51,1.62,0.597,0.0278,medium
873944ce3ffffff,0.00704,0.0118,0.0368,0.229,0.494,0.598,2.04,2.37,2.68,1.73,0.633,0.0293,medium
873944ce4ffffff,0.00648,0.0108,0.0338,0.21,0.45,0.543,1.84,2.15,2.44,1.57,0.581,0.027,medium
873944ce5ffffff,0.00717,0.012,0.0375,0.232,0.499,0.603,2.06,2.4,2.7,1.74,0.643,0.0299,medium
873944ce6ffffff,0.00586,0.00979,0.0306,0.19,0.407,0.492,1.67,1.95,2.22,1.42,0.526,0.0244,medium
873944ce8ffffff,0.00948,0.0158,0.0495,0.307,0.659,0.795,2.7,3.14,3.53,2.28,0.846,0.0395,medium
873944ce9ffffff,0.0118,0.0198,0.0619,0.384,0.828,0.997,3.38,3.92,4.4,2.86,1.06,0.0494,medium
873944ceaffffff,0.013,0.0218,0.0681,0.423,0.914,1.11,3.66,4.21,4.78,3.13,1.16,0.0543,medium
873944cebffffff,0.0129,0.0216,0.0675,0.419,0.901,1.09,3.59,4.13,4.68,3.07,1.14,0.0538,medium
873944cecffffff,0.00902,0.0151,0.0471,0.292,0.628,0.758,2.58,3.01,3.38,2.18,0.807,0.0376,high
873944cedffffff,0.0108,0.018,0.0564,0.349,0.75,0.905,3.06,3.56,4,2.59,0.962,0.045,high
873944ceeffffff,0.0101,0.0168,0.0527,0.326,0.702,0.847,2.84,3.3,3.71,2.41,0.896,0.042,medium
873944cf0ffffff,0.00723,0.0121,0.0378,0.235,0.507,0.616,2.07,2.39,2.75,1.77,0.65,0.0301,low
873944cf1ffffff,0.018,0.03,0.0937,0.575,1.22,1.47,4.6,5.24,5.94,4,1.53,0.0747,low
873944cf2ffffff,0.0103,0.0172,0.0538,0.33,0.702,0.847,2.66,3.03,3.44,2.31,0.881,0.0429,low
873944cf3ffffff,0.00627,0.0105,0.0328,0.204,0.44,0.535,1.8,2.09,2.4,1.54,0.565,0.0261,low
873944cf4ffffff,0.00901,0.015,0.0471,0.292,0.628,0.762,2.52,2.9,3.32,2.17,0.802,0.0375,medium
873944cf5ffffff,0.0088,0.0147,0.046,0.286,0.615,0.747,2.49,2.87,3.29,2.13,0.787,0.0367,medium
873944cf6ffffff,0.00712,0.0119,0.0372,0.231,0.498,0.605,2.02,2.33,2.67,1.73,0.637,0.0297,medium
873944d00ffffff,0.00515,0.0086,0.0269,0.169,0.363,0.431,1.53,1.77,2.09,1.28,0.464,0.0215,medium
873944d01ffffff,0.00461,0.0077,0.0241,0.151,0.324,0.386,1.36,1.58,1.85,1.14,0.415,0.0192,medium
873944d02ffffff,0.00441,0.00736,0.023,0.145,0.311,0.369,1.31,1.51,1.8,1.1,0.398,0.0184,medium
873944d03ffffff,0.00482,0.00805,0.0252,0.158,0.34,0.404,1.43,1.65,1.96,1.2,0.435,0.0201,medium
873944d04ffffff,0.00533,0.0089,0.0279,0.175,0.376,0.445,1.57,1.82,2.16,1.32,0.48,0.0222,medium
873944d05ffffff,0.00509,0.00851,0.0266,0.168,0.359,0.425,1.5,1.74,2.06,1.27,0.459,0.0212,medium
873944d06ffffff,0.0044,0.00735,0.023,0.145,0.311,0.369,1.31,1.51,1.8,1.1,0.397,0.0184,medium
873944d08ffffff,0.0049,0.00818,0.0256,0.16,0.343,0.411,1.44,1.67,1.94,1.2,0.44,0.0204,medium
873944d09ffffff,0.00496,0.00827,0.0259,0.161,0.347,0.416,1.45,1.69,1.95,1.21,0.445,0.0207,medium
873944d0affffff,0.00358,0.00599,0.0187,0.117,0.251,0.302,1.06,1.23,1.43,0.882,0.323,0.0149,low
873944d0bffffff,0.00488,0.00815,0.0255,0.159,0.342,0.41,1.43,1.67,1.93,1.2,0.439,0.0203,medium
873944d0cffffff,0.00408,0.00682,0.0213,0.133,0.287,0.343,1.2,1.4,1.63,1.01,0.368,0.017,medium
873944d0dffffff,0.00466,0.00778,0.0243,0.152,0.327,0.39,1.35,1.59,1.84,1.14,0.418,0.0194,medium
873944d0effffff,0.00494,0.00826,0.0258,0.161,0.346,0.415,1.45,1.69,1.96,1.21,0.445,0.0206,medium
873944d10ffffff,0.00472,0.00789,0.0247,0.155,0.333,0.396,1.4,1.62,1.92,1.18,0.426,0.0197,medium
873944d11ffffff,0.00371,0.0062,0.0194,0.122,0.262,0.312,1.11,1.28,1.52,0.928,0.336,0.0155,medium
873944d12ffffff,0.00532,0.00888,0.0278,0.175,0.375,0.445,1.57,1.81,2.14,1.32,0.478,0.0222,medium
873944d13ffffff,0.00502,0.00839,0.0263,0.165,0.354,0.42,1.48,1.71,2.02,1.24,0.451,0.0209,low
873944d14ffffff,0.00526,0.00878,0.0275,0.173,0.37,0.44,1.56,1.79,2.14,1.31,0.474,0.0219,medium
873944d15ffffff,0.00444,0.00741,0.0232,0.146,0.313,0.372,1.32,1.53,1.81,1.11,0.401,0.0185,medium
873944d16ffffff,0.00541,0.00904,0.0283,0.178,0.381,0.451,1.6,1.82,2.21,1.35,0.487,0.0226,medium
873944d18ffffff,0.00466,0.00778,0.0244,0.153,0.328,0.391,1.38,1.6,1.87,1.15,0.42,0.0194,low
873944d19ffffff,0.00404,0.00675,0.0211,0.132,0.283,0.34,1.19,1.39,1.61,0.993,0.364,0.0169,low
873944d1affffff,0.00399,0.00666,0.0208,0.131,0.281,0.334,1.19,1.37,1.62,0.993,0.36,0.0166,low
873944d1bffffff,0.00417,0.00696,0.0218,0.136,0.292,0.35,1.23,1.43,1.66,1.02,0.375,0.0174,low
873944d1cffffff,0.00528,0.00881,0.0276,0.173,0.372,0.442,1.56,1.8,2.13,1.31,0.475,0.022,medium
873944d1dffffff,0.00436,0.00728,0.0228,0.142,0.306,0.367,1.29,1.5,1.74,1.07,0.393,0.0182,low
873944d1effffff,0.00452,0.00755,0.0236,0.149,0.319,0.379,1.34,1.55,1.84,1.13,0.408,0.0188,medium
873944d20ffffff,0.00783,0.0131,0.0409,0.257,0.549,0.649,2.26,2.61,3.08,1.91,0.699,0.0326,medium
873944d21ffffff,0.00573,0.00957,0.03,0.189,0.404,0.478,1.69,1.96,2.31,1.42,0.516,0.0239,medium
873944d22ffffff,0.00718,0.012,0.0375,0.236,0.504,0.596,2.08,2.41,2.84,1.76,0.642,0.0299,medium
873944d23ffffff,0.00481,0.00804,0.0252,0.158,0.34,0.402,1.42,1.65,1.95,1.2,0.434,0.0201,medium
873944d24ffffff,0.00729,0.0122,0.0381,0.24,0.513,0.606,2.12,2.45,2.89,1.79,0.653,0.0304,medium
873944d25ffffff,0.0059,0.00985,0.0308,0.194,0.416,0.492,1.73,2.01,2.38,1.46,0.531,0.0246,medium
873944d26ffffff,0.00593,0.00991,0.031,0.195,0.418,0.494,1.74,2.02,2.39,1.47,0.534,0.0247,low
873944d28ffffff,0.00607,0.0101,0.0317,0.198,0.425,0.506,1.75,2.05,2.38,1.48,0.544,0.0253,medium
873944d29ffffff,0.00483,0.00807,0.0253,0.158,0.339,0.404,1.41,1.65,1.92,1.19,0.435,0.0201,medium
873944d2affffff,0.00427,0.00714,0.0223,0.14,0.3,0.358,1.25,1.47,1.71,1.05,0.385,0.0178,medium
873944d2bffffff,0.00441,0.00736,0.023,0.144,0.31,0.369,1.28,1.51,1.76,1.09,0.397,0.0184,medium
873944d2cffffff,0.00602,0.01,0.0315,0.197,0.423,0.503,1.75,2.05,2.4,1.48,0.541,0.0251,medium
873944d2dffffff,0.00574,0.00958,0.03,0.188,0.403,0.48,1.67,1.96,2.27,1.41,0.516,0.0239,medium
873944d2effffff,0.00478,0.00798,0.025,0.157,0.337,0.399,1.41,1.64,1.93,1.19,0.431,0.0199,medium
873944d30ffffff,0.00677,0.0113,0.0354,0.222,0.475,0.562,1.97,2.27,2.69,1.66,0.607,0.0282,medium
873944d31ffffff,0.0054,0.00901,0.0282,0.177,0.38,0.45,1.58,1.83,2.17,1.33,0.485,0.0225,medium
873944d32ffffff,0.00465,0.00777,0.0243,0.153,0.328,0.388,1.38,1.58,1.92,1.16,0.42,0.0194,medium
873944d33ffffff,0.00521,0.0087,0.0273,0.171,0.368,0.437,1.54,1.78,2.11,1.29,0.47,0.0217,medium
873944d34ffffff,0.00526,0.00879,0.0275,0.173,0.367,0.435,1.52,1.77,2.09,1.29,0.473,0.0219,low
873944d35ffffff,0.00499,0.00833,0.0261,0.164,0.351,0.416,1.47,1.7,2.01,1.24,0.45,0.0208,medium
873944d36ffffff,0.00537,0.00897,0.0281,0.177,0.377,0.446,1.59,1.81,2.19,1.34,0.484,0.0224,medium
873944d40ffffff,0.0116,0.0194,0.0608,0.376,0.803,0.954,3.17,3.71,4.25,2.71,1.02,0.0485,high
873944d41ffffff,0.015,0.0251,0.0783,0.478,1.01,1.2,3.82,4.43,5.02,3.29,1.27,0.0624,high
873944d42ffffff,0.00653,0.0109,0.0341,0.212,0.454,0.543,1.86,2.19,2.51,1.57,0.583,0.0272,medium
873944d43ffffff,0.00613,0.0102,0.032,0.199,0.428,0.51,1.76,2.08,2.39,1.49,0.55,0.0256,medium
873944d44ffffff,0.0176,0.0294,0.0918,0.56,1.18,1.4,4.36,5.04,5.7,3.78,1.47,0.0732,high
873944d45ffffff,0.0858,0.143,0.434,2.32,4.45,5.08,12.6,14.2,15.6,11.3,5.11,0.344,high
873944d46ffffff,0.00722,0.012,0.0377,0.234,0.502,0.599,2.05,2.41,2.78,1.74,0.644,0.0301,medium
873944d48ffffff,0.00642,0.0107,0.0335,0.208,0.446,0.531,1.83,2.15,2.48,1.55,0.573,0.0267,low
873944d49ffffff,0.00639,0.0107,0.0334,0.207,0.445,0.529,1.83,2.16,2.48,1.54,0.572,0.0266,medium
873944d4affffff,0.00598,0.00999,0.0313,0.194,0.417,0.499,1.74,2.04,2.32,1.45,0.536,0.0249,low
873944d4bffffff,0.00757,0.0126,0.0395,0.245,0.525,0.626,2.15,2.51,2.85,1.8,0.672,0.0316,low
873944d4cffffff,0.00559,0.00933,0.0292,0.181,0.39,0.463,1.61,1.89,2.18,1.35,0.501,0.0233,low
873944d4dffffff,0.00618,0.0103,0.0323,0.2,0.431,0.512,1.78,2.09,2.4,1.5,0.554,0.0258,medium
873944d4effffff,0.0141,0.0236,0.0736,0.445,0.937,1.1,3.38,3.89,4.37,2.93,1.16,0.0587,low
873944d50ffffff,0.0046,0.00768,0.024,0.149,0.32,0.384,1.33,1.56,1.78,1.11,0.412,0.0192,medium
873944d51ffffff,0.00441,0.00736,0.023,0.143,0.307,0.369,1.28,1.51,1.72,1.07,0.396,0.0184,medium
873944d52ffffff,0.00439,0.00732,0.0229,0.142,0.306,0.367,1.28,1.5,1.71,1.07,0.394,0.0183,medium
873944d53ffffff,0.00504,0.00841,0.0263,0.163,0.351,0.421,1.46,1.71,1.95,1.22,0.452,0.021,medium
873944d54ffffff,0.0043,0.00717,0.0224,0.14,0.3,0.36,1.25,1.47,1.69,1.05,0.386,0.0179,medium
873944d55ffffff,0.00403,0.00673,0.021,0.131,0.281,0.337,1.17,1.38,1.58,0.982,0.362,0.0168,medium
873944d56ffffff,0.00422,0.00705,0.0221,0.137,0.295,0.354,1.24,1.45,1.67,1.03,0.38,0.0176,medium
873944d58ffffff,0.00587,0.00979,0.0306,0.19,0.409,0.491,1.71,2,2.27,1.42,0.526,0.0244,medium
873944d59ffffff,0.00564,0.00942,0.0295,0.183,0.394,0.472,1.66,1.94,2.18,1.37,0.506,0.0235,medium
873944d5affffff,0.00567,0.00947,0.0296,0.184,0.395,0.474,1.64,1.92,2.19,1.37,0.508,0.0236,medium
873944d5bffffff,0.00709,0.0118,0.0371,0.23,0.494,0.592,2.06,2.41,2.72,1.72,0.634,0.0296,medium
873944d5cffffff,0.00712,0.0119,0.0372,0.23,0.494,0.594,2.04,2.39,2.73,1.71,0.636,0.0297,medium
873944d5dffffff,0.00638,0.0107,0.0333,0.207,0.445,0.533,1.86,2.17,2.46,1.55,0.571,0.0266,low
873944d5effffff,0.00508,0.00848,0.0265,0.165,0.354,0.425,1.48,1.73,1.98,1.23,0.456,0.0212,medium
873944d60ffffff,0.00602,0.01,0.0314,0.195,0.42,0.501,1.72,2.04,2.35,1.46,0.54,0.0251,medium
873944d61ffffff,0.00633,0.0106,0.0331,0.206,0.442,0.526,1.81,2.14,2.47,1.54,0.567,0.0264,medium
873944d62ffffff,0.0065,0.0109,0.034,0.211,0.453,0.54,1.85,2.18,2.52,1.57,0.581,0.0271,medium
873944d63ffffff,0.0134,0.0223,0.0697,0.431,0.919,1.09,3.62,4.23,4.84,3.09,1.17,0.0556,medium
873944d64ffffff,0.00618,0.0103,0.0323,0.2,0.429,0.51,1.75,2.06,2.38,1.49,0.553,0.0258,medium
873944d65ffffff,0.00639,0.0107,0.0334,0.206,0.44,0.521,1.77,2.08,2.4,1.51,0.569,0.0266,medium
873944d66ffffff,0.00569,0.0095,0.0297,0.185,0.397,0.474,1.63,1.93,2.23,1.38,0.511,0.0237,medium
873944d68ffffff,0.00575,0.00961,0.0301,0.186,0.401,0.477,1.66,1.95,2.24,1.39,0.516,0.024,medium
873944d69ffffff,0.00678,0.0113,0.0354,0.219,0.472,0.561,1.94,2.29,2.63,1.64,0.606,0.0282,high
873944d6affffff,0.00637,0.0106,0.0333,0.206,0.443,0.527,1.82,2.14,2.46,1.54,0.57,0.0265,high
873944d6bffffff,0.0067,0.0112,0.035,0.217,0.466,0.555,1.92,2.26,2.6,1.62,0.599,0.0279,medium
873944d6cffffff,0.00604,0.0101,0.0316,0.196,0.421,0.502,1.73,2.04,2.36,1.47,0.542,0.0252,medium
873944d6dffffff,0.00644,0.0108,0.0337,0.209,0.448,0.532,1.84,2.17,2.49,1.56,0.577,0.0269,medium
873944d6effffff,0.0073,0.0122,0.0381,0.236,0.507,0.604,2.06,2.42,2.78,1.75,0.649,0.0304,medium
873944d70ffffff,0.00459,0.00767,0.024,0.15,0.322,0.384,1.33,1.57,1.82,1.13,0.413,0.0191,medium
873944d71ffffff,0.00509,0.0085,0.0266,0.165,0.355,0.424,1.46,1.73,1.99,1.24,0.457,0.0212,medium
873944d72ffffff,0.00471,0.00787,0.0246,0.154,0.331,0.394,1.37,1.61,1.87,1.16,0.424,0.0196,medium
873944d73ffffff,0.00391,0.00653,0.0204,0.127,0.274,0.326,1.13,1.33,1.54,0.955,0.352,0.0163,medium
873944d74ffffff,0.00524,0.00875,0.0274,0.171,0.368,0.439,1.52,1.79,2.08,1.29,0.471,0.0218,medium
873944d75ffffff,0.00544,0.00908,0.0284,0.177,0.38,0.453,1.56,1.84,2.13,1.32,0.488,0.0227,medium
873944d76ffffff,0.00499,0.00833,0.0261,0.163,0.35,0.417,1.44,1.7,1.97,1.22,0.448,0.0208,medium
873944d80ffffff,0.00426,0.00712,0.0223,0.14,0.299,0.356,1.25,1.42,1.71,1.07,0.386,0.0178,high
873944d81ffffff,0.00301,0.00503,0.0158,0.099,0.212,0.253,0.884,1.01,1.2,0.754,0.273,0.0126,medium
873944d82ffffff,0.00479,0.008,0.0251,0.158,0.336,0.399,1.42,1.59,1.93,1.2,0.434,0.02,high
873944d83ffffff,0.00973,0.0163,0.0508,0.316,0.668,0.795,2.6,2.95,3.46,2.25,0.845,0.0405,medium
873944d84ffffff,0.00396,0.00661,0.0207,0.131,0.278,0.329,1.18,1.32,1.61,0.997,0.359,0.0165,high
873944d85ffffff,0.00686,0.0115,0.0358,0.223,0.472,0.562,1.86,2.11,2.47,1.6,0.599,0.0285,high
873944d86ffffff,0.00373,0.00624,0.0195,0.124,0.262,0.311,1.11,1.24,1.52,0.94,0.339,0.0156,medium
873944d88ffffff,0.00466,0.00778,0.0243,0.153,0.327,0.391,1.36,1.55,1.84,1.16,0.42,0.0194,medium
873944d89ffffff,0.00462,0.00772,0.0242,0.151,0.323,0.388,1.33,1.53,1.8,1.14,0.416,0.0193,medium
873944d8affffff,0.00405,0.00677,0.0212,0.133,0.284,0.34,1.18,1.36,1.61,1.01,0.366,0.0169,medium
873944d8bffffff,0.00425,0.0071,0.0222,0.139,0.298,0.357,1.24,1.42,1.68,1.06,0.384,0.0177,medium
873944d8cffffff,0.00628,0.0105,0.0328,0.206,0.439,0.524,1.79,2.04,2.42,1.53,0.562,0.0262,medium
873944d8dffffff,0.0067,0.0112,0.035,0.218,0.463,0.551,1.84,2.09,2.45,1.58,0.588,0.0279,medium
873944d8effffff,0.091,0.151,0.463,2.5,4.73,5.35,11.6,12.5,13.7,10.8,5.23,0.367,high
873944d90ffffff,0.00468,0.00782,0.0244,0.154,0.325,0.386,1.36,1.53,1.85,1.16,0.422,0.0195,medium
873944d91ffffff,0.00471,0.00787,0.0246,0.155,0.329,0.39,1.38,1.55,1.88,1.17,0.426,0.0196,medium
873944d92ffffff,0.00394,0.00657,0.0206,0.129,0.273,0.324,1.15,1.29,1.57,0.982,0.357,0.0164,medium
873944d93ffffff,0.00438,0.00731,0.0229,0.144,0.303,0.36,1.27,1.44,1.74,1.09,0.397,0.0182,medium
873944d94ffffff,0.00406,0.00679,0.0212,0.134,0.285,0.338,1.2,1.35,1.65,1.02,0.368,0.0169,medium
873944d95ffffff,0.00419,0.007,0.0219,0.139,0.294,0.348,1.24,1.39,1.7,1.05,0.38,0.0175,medium
873944d96ffffff,0.00577,0.00963,0.0301,0.189,0.399,0.473,1.65,1.85,2.24,1.41,0.517,0.024,medium
873944d98ffffff,0.00524,0.00875,0.0274,0.172,0.364,0.437,1.5,1.72,2.05,1.3,0.473,0.0218,medium
873944d99ffffff,0.00654,0.0109,0.0342,0.214,0.453,0.543,1.84,2.11,2.49,1.59,0.585,0.0272,medium
873944d9affffff,0.00539,0.00901,0.0282,0.176,0.374,0.45,1.54,1.77,2.1,1.33,0.487,0.0225,low
873944d9bffffff,0.0056,0.00935,0.0292,0.183,0.388,0.467,1.6,1.83,2.18,1.38,0.505,0.0233,low
873944d9cffffff,0.0048,0.00802,0.0251,0.158,0.336,0.402,1.4,1.6,1.91,1.2,0.434,0.02,high
873944d9dffffff,0.0049,0.00818,0.0256,0.161,0.344,0.411,1.43,1.64,1.94,1.22,0.443,0.0204,high
873944d9effffff,0.00583,0.00974,0.0305,0.191,0.403,0.481,1.66,1.88,2.26,1.43,0.524,0.0243,medium
873944da0ffffff,0.0041,0.00685,0.0214,0.136,0.288,0.341,1.22,1.37,1.68,1.03,0.371,0.0171,low
873944da1ffffff,0.00422,0.00704,0.022,0.139,0.297,0.353,1.25,1.43,1.71,1.05,0.381,0.0176,medium
873944da2ffffff,0.00455,0.00761,0.0238,0.151,0.319,0.378,1.35,1.51,1.85,1.14,0.413,0.019,low
873944da3ffffff,0.00451,0.00754,0.0236,0.149,0.317,0.376,1.33,1.5,1.82,1.13,0.409,0.0188,high
873944da4ffffff,0.00456,0.00762,0.0238,0.151,0.321,0.38,1.36,1.54,1.88,1.14,0.412,0.019,medium
873944da5ffffff,0.00477,0.00797,0.0249,0.157,0.336,0.397,1.42,1.61,1.96,1.19,0.431,0.0199,medium
873944da6ffffff,0.00381,0.00636,0.0199,0.126,0.267,0.317,1.13,1.27,1.55,0.958,0.345,0.0159,low
873944da8ffffff,0.0044,0.00735,0.023,0.145,0.309,0.369,1.29,1.48,1.75,1.1,0.398,0.0183,medium
873944da9ffffff,0.0044,0.00736,0.023,0.145,0.31,0.37,1.29,1.49,1.77,1.1,0.398,0.0184,low
873944daaffffff,0.0039,0.00652,0.0204,0.128,0.274,0.328,1.14,1.31,1.55,0.974,0.353,0.0163,medium
873944dabffffff,0.00494,0.00824,0.0258,0.162,0.346,0.414,1.44,1.65,1.96,1.23,0.446,0.0206,medium
873944dacffffff,0.00482,0.00805,0.0252,0.158,0.34,0.404,1.42,1.64,1.95,1.2,0.434,0.0201,low
873944dadffffff,0.00482,0.00805,0.0252,0.158,0.339,0.403,1.42,1.64,1.94,1.19,0.433,0.0201,low
873944daeffffff,0.004,0.00668,0.0209,0.131,0.281,0.336,1.17,1.34,1.59,0.996,0.361,0.0167,high
873944db0ffffff,0.00428,0.00715,0.0224,0.141,0.3,0.356,1.27,1.42,1.74,1.07,0.388,0.0178,medium
873944db1ffffff,0.00447,0.00747,0.0234,0.148,0.313,0.371,1.32,1.48,1.81,1.12,0.405,0.0186,medium
873944db2ffffff,0.00497,0.0083,0.026,0.164,0.348,0.412,1.47,1.64,2,1.24,0.449,0.0207,medium
873944db3ffffff,0.00401,0.0067,0.021,0.133,0.282,0.334,1.19,1.33,1.63,1.01,0.364,0.0167,medium
873944db4ffffff,0.00335,0.00559,0.0175,0.111,0.235,0.278,0.996,1.12,1.37,0.844,0.304,0.0139,medium
873944db5ffffff,0.00382,0.00638,0.02,0.126,0.268,0.318,1.14,1.27,1.56,0.962,0.347,0.0159,low
873944db6ffffff,0.00418,0.00698,0.0218,0.138,0.293,0.345,1.24,1.39,1.71,1.05,0.379,0.0174,medium
873945110ffffff,0.0535,0.0893,0.278,1.75,4.01,4.73,12.7,15.3,18.9,12.6,4.61,0.223,high
873945111ffffff,0.029,0.0484,0.151,0.96,2.24,2.69,7.55,9.37,11.7,7.51,2.62,0.121,high
873945112ffffff,0.117,0.193,0.58,2.96,5.8,6.6,13.6,15.9,18.6,13.6,6.08,0.461,high
873945114ffffff,0.0336,0.056,0.175,1.12,2.58,2.99,8.7,10.5,13.7,8.64,3.03,0.14,high
873945115ffffff,0.0277,0.0462,0.145,0.929,2.14,2.49,7.31,8.92,11.6,7.26,2.53,0.116,high
873945116ffffff,0.103,0.171,0.525,3.06,6.5,7.41,17.4,20.3,24.6,17.4,7.13,0.419,high
873945132ffffff,0.0456,0.076,0.237,1.49,3.33,3.84,10.3,12.2,15.4,10.2,3.82,0.189,high
873945133ffffff,0.0471,0.0785,0.244,1.51,3.34,3.84,9.97,11.8,14.8,9.94,3.79,0.195,high
873945136ffffff,0.138,0.23,0.711,4.2,8.88,10.1,22.3,25.4,29.9,22.4,9.6,0.568,high
873945180ffffff,0.422,0.689,1.94,7.87,13.7,15.1,26.5,29.7,33.3,26.5,13.8,1.53,high
873945181ffffff,0.0671,0.112,0.347,2.12,4.75,5.61,14.2,17.1,20.6,14.1,5.35,0.277,high
873945182ffffff,0.0518,0.0863,0.266,1.55,3.33,3.87,9.34,11.1,13.4,9.21,3.69,0.212,high
873945183ffffff,0.0277,0.0462,0.144,0.916,2.14,2.56,7.22,8.97,11.2,7.21,2.51,0.116,high
873945184ffffff,0.053900000000000003,0.0898,0.279,1.72,3.86,4.54,11.7,14.1,17.2,11.5,4.38,0.223,high
873945185ffffff,0.279,0.458,1.32,5.88,10.7,12,22,25.1,28.5,22.1,10.9,1.05,high
